"Date","Samsung","Apple","Unknown","Nokia","Xiaomi","Huawei","LG","Oppo","Motorola","Sony","HTC","Lenovo","RIM","Micromax","Vivo","Realme","Mobicel","Asus","Google","General Mobile","BBK","OnePlus","ZTE","Tecno","Alcatel","Infinix","Lava","Gionee","Vodafone","Itel","Turkcell","Wiko","Coolpad","Casper","Lyf","Hisense","Vestel","Spice","AIS","Meizu","bq","QMobile","LeEco","Panasonic","True","Kyocera","Acer","Reliance Digital","Pantech","Honor","InFocus","Intex","Xolo","Nintendo","Smartfren","Blu","Archos","T-Mobile","HP","Infinex","i-Mobile","Condor","Avea","Karbonn","dtac","Sharp","Yu","Symphony","Lanix","Other"
2010-04,2.37,33.15,0,37.58,0,0,0.23,0,0.3,8.3,0.09,0,15.86,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0.67
2010-05,3.27,33.09,0,37.37,0,0,0.08,0,0.12,7.96,0.03,0,16.16,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0.66
2010-06,3.86,30.71,0,38.28,0,0,0.08,0,0.11,7.9,0.03,0,17.23,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0.66
2010-07,3.83,30.09,0,36.78,0,0,0.21,0,0.29,7.9,0.07,0,19.04,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0.71
2010-08,4.07,29.82,0,36.4,0,0,0.22,0,0.35,7.81,0.07,0,19.71,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.63
2010-09,4.53,26.72,0,38.06,0,0,0.18,0,0.4,7.84,0.06,0,20.99,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0.51
2010-10,4.68,26.5,0,37.81,0,0,0.16,0,0.42,7.81,0.05,0,21.51,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.45
2010-11,5.59,25.72,0,36.54,0,0,0.15,0,1.37,7.04,0.04,0,22.6,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0.4
2010-12,6.6,28.04,0,34.4,0,0,0.15,0,1.76,6.6,0.04,0,21.48,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0.39
2011-01,7.06,30.2,0,35.58,0,0,0.17,0,1.62,6.26,0.09,0,18.15,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0.35
2011-02,7.36,29.83,0,36.36,0,0,0.18,0,1.52,6.23,0.15,0,17.64,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.3
2011-03,7.88,29.76,0,36.51,0,0,0.17,0,1.47,6.16,0.17,0,17.22,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.26
2011-04,8.56,28.6,0,37.88,0,0,0.17,0,1.31,6.1,0.18,0,16.6,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.22
2011-05,9.65,27.63,0,38.39,0,0,0.16,0,1.04,5.99,0.18,0,16.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.19
2011-06,10.77,25.11,0,41.34,0,0,0.16,0,0.92,5.64,0.17,0,15.23,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.15
2011-07,11.49,25.22,0,40.23,0,0,0.16,0,0.84,5.49,0.18,0,15.72,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0.14
2011-08,12.84,24.65,0,40.18,0,0,0.15,0,0.81,5.37,0.19,0,15.05,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.12
2011-09,12.73,27.06,0,40.04,0,0,0.15,0,0.69,4.69,0.3,0,13.7,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.12
2011-10,12.64,28.78,0,36.08,0,0,1.62,0,0.62,4.32,3.57,0,11.64,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.13,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0.11
2011-11,13.1,29.07,0,36.74,0,0,1.79,0,0.76,4.05,3.75,0,10.15,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1
2011-12,13.63,27.06,0,39.43,0,0,1.72,0,0.74,4.11,3.43,0,9.29,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.08
2012-01,14.84,28.67,0,37.67,0,0,1.83,0,0.69,3.92,3.45,0,8.3,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.06
2012-02,14.91,30.58,0,35.96,0,0,1.95,0,0.67,3.72,3.5,0,8.14,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.06
2012-03,14.02,24.87,13.23,32.51,0,0.06,1.53,0,0.52,3.29,2.78,0,6.7,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.04
2012-04,14.03,21.47,20.33,29.25,0,0.36,1.41,0,0.91,2.92,2.99,0,5.63,0,0,0,0,0,0.33,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.18,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.05
2012-05,17.13,22.04,12.37,30.35,0,0.49,1.9,0,1.81,3.01,4.18,0,5.47,0,0,0,0,0,0.35,0,0,0,0.29,0,0.04,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.15,0,0,0,0,0.19,0,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0.12
2012-06,17.92,24.56,8.21,30.65,0.01,0.57,2,0,1.93,3.06,4.34,0.01,5.3,0.03,0,0,0,0,0.4,0,0,0,0.34,0,0.05,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.18,0,0,0,0,0.19,0,0,0,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0.14
2012-07,19.46,25.43,7.69,28.05,0.02,0.62,2.21,0,2.02,3.11,4.41,0.02,5,0.43,0,0,0,0,0.41,0,0,0,0.38,0,0.07,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.19,0,0,0,0,0.23,0,0,0,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0.14
2012-08,20.64,24.49,7.83,27.69,0.02,0.68,2.18,0,2,3.16,4.38,0.03,4.69,0.55,0,0,0,0,0.43,0,0,0,0.41,0,0.08,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.1,0,0.18,0,0,0,0,0.23,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0.13
2012-09,21.47,23.64,8.09,27.52,0.02,0.69,2.19,0,2.07,3.15,4.26,0.04,4.6,0.58,0,0,0,0,0.43,0,0,0,0.42,0,0.1,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0.17,0,0,0,0,0.2,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0.12
2012-10,21.79,23.73,8.79,26.93,0.02,0.7,2.25,0,1.99,3.08,4.05,0.04,4.36,0.6,0,0,0,0,0.43,0,0,0,0.42,0,0.1,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0.19,0,0,0,0,0.18,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0.11
2012-11,21.91,23.81,9.71,26.31,0.02,0.73,2.37,0,1.9,3.02,3.87,0.04,4,0.61,0,0,0,0,0.43,0,0,0,0.41,0,0.11,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.1,0,0.21,0,0,0,0,0.19,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0.11
2012-12,22.94,23.27,10.13,25.97,0.03,0.74,2.5,0,1.79,2.87,3.61,0.05,3.61,0.64,0,0,0,0,0.43,0,0,0,0.41,0,0.12,0,0,0,0.05,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.11,0,0.31,0,0,0,0,0.18,0,0,0,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0.1
2013-01,22.69,25.86,10.95,22.15,0.05,0.85,2.79,0,1.81,2.78,3.69,0.14,3.48,0.57,0,0,0,0,0.46,0,0,0,0.48,0,0.13,0,0,0,0.05,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,0,0.43,0,0,0,0,0.19,0,0,0.01,0.02,0,0,0,0,0,0,0,0.01,0,0,0,0.1
2013-02,23.04,27.22,10.7,21.28,0.03,0.78,2.84,0,1.75,2.77,3.45,0.06,3.42,0.6,0,0,0,0,0.44,0,0,0,0.42,0,0.14,0,0,0,0.05,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,0,0.37,0,0,0,0,0.19,0,0,0.01,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0.1
2013-03,24.32,27.16,9.63,21.15,0.04,0.8,2.7,0,1.81,2.86,3.37,0.07,3.39,0.63,0,0,0,0,0.5,0,0,0,0.45,0,0.15,0,0,0,0.05,0,0.08,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.11,0.09,0,0.27,0,0,0,0,0.21,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.1
2013-04,25,26.48,10.06,20.91,0.04,0.78,2.76,0,1.71,2.82,3.19,0.08,3.4,0.7,0,0,0,0,0.51,0,0,0,0.44,0,0.16,0,0,0,0.05,0,0.11,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0.11,0.07,0,0.27,0,0,0,0,0.2,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.09
2013-05,25.39,25.87,10.05,21.17,0.04,0.77,2.77,0,1.58,2.75,3.03,0.1,3.63,0.83,0,0,0,0,0.51,0,0,0,0.43,0,0.18,0,0,0,0.05,0,0.1,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0.1,0.07,0,0.27,0,0,0,0,0.14,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.08
2013-06,25.47,25.09,10.33,21.96,0.04,0.78,2.59,0,1.45,2.65,2.93,0.13,3.62,0.99,0,0,0,0,0.49,0,0,0,0.42,0,0.21,0,0,0,0.05,0,0.09,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0.11,0.06,0,0.21,0,0,0,0,0.14,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.07
2013-07,25.19,24.74,11.09,21.75,0.03,0.79,2.74,0,1.4,2.45,2.85,0.14,3.67,1.14,0,0,0,0,0.5,0,0,0,0.42,0,0.24,0,0,0,0.05,0,0.07,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0.11,0.07,0,0.26,0,0,0,0,0.13,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.08
2013-08,25.69,23.39,12.1,21.66,0.04,0.81,2.78,0,1.22,2.34,2.73,0.2,3.75,1.3,0,0,0,0,0.49,0,0,0,0.42,0,0.25,0,0,0,0.05,0,0.07,0,0.02,0,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0.07,0,0.25,0,0,0,0,0.09,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.08
2013-09,26.16,22.68,12.89,21.61,0.03,0.79,2.78,0,1.11,2.21,2.6,0.21,3.75,1.34,0,0,0,0,0.46,0,0,0,0.37,0,0.25,0,0,0,0.06,0,0.07,0,0.02,0,0,0.04,0,0,0,0,0,0,0,0,0,0.09,0.07,0,0.24,0,0,0,0,0.07,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.07
2013-10,25.54,20.5,15.22,22.31,0.03,0.82,2.84,0,0.98,2.15,2.39,0.28,3.81,1.34,0,0,0,0,0.42,0,0,0,0.36,0,0.31,0,0,0,0.07,0,0.07,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0.09,0.06,0,0.21,0,0,0,0,0.05,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.06
2013-11,27.11,21.9,12.87,21.01,0.05,0.85,2.84,0,1.01,2.05,2.41,0.27,3.91,1.6,0,0,0,0,0.43,0,0,0,0.38,0,0.33,0,0,0,0.08,0,0.08,0,0.01,0,0,0.04,0,0.23,0,0.01,0,0,0,0,0,0.09,0.07,0,0.17,0,0,0,0,0.05,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0.01,0,0,0,0.06
2013-12,27.48,21.79,13.62,20.18,0.06,0.9,2.81,0,0.95,1.88,2.33,0.33,3.71,1.79,0,0,0,0,0.41,0,0,0,0.39,0,0.35,0,0,0,0.08,0,0.09,0,0.02,0,0,0.04,0,0.3,0,0.01,0,0,0,0,0,0.1,0.07,0,0.15,0,0,0,0,0.04,0,0,0.01,0.01,0.04,0,0,0,0,0,0,0.01,0,0,0,0.05
2014-01,27.85,23.52,13.56,18.42,0.07,0.95,2.99,0,0.89,1.97,2.28,0.36,3.12,1.78,0,0,0,0,0.44,0.01,0,0,0.39,0,0.36,0,0,0,0.08,0,0.09,0,0.02,0,0,0.03,0,0.32,0,0.01,0,0,0,0,0,0.1,0.07,0,0.16,0,0,0,0,0.04,0,0,0.02,0.01,0.05,0,0,0,0,0,0,0.01,0,0,0,0.05
2014-02,30.4,22.94,11.43,17.27,0.08,0.98,3.07,0.02,1.1,2.65,2.25,0.4,2.7,1.81,0,0,0,0,0.53,0.52,0,0,0.39,0,0.4,0,0,0,0.11,0,0.11,0,0.03,0,0,0.02,0,0.3,0,0.01,0,0,0,0,0,0.09,0.07,0,0.14,0,0,0,0,0.03,0,0,0.02,0.01,0.05,0,0,0,0.01,0,0,0.01,0,0,0,0.05
2014-03,30.57,23.57,10.85,16.37,0.06,1.03,3.14,0.04,1.39,2.93,2.2,0.44,2.58,1.89,0,0,0,0,0.56,0.49,0,0,0.4,0,0.46,0,0,0,0.1,0,0.1,0,0.02,0,0,0.04,0,0.3,0,0.01,0,0,0,0,0,0.09,0.07,0,0.12,0,0,0,0,0.03,0,0,0.02,0.01,0.04,0,0,0,0.01,0,0,0,0,0,0,0.06
2014-04,31.59,23.21,10.51,15.61,0.08,1.1,3.16,0.05,1.44,3.11,2.25,0.49,2.23,1.88,0,0,0,0,0.59,0.65,0,0,0.44,0,0.49,0,0,0,0.11,0,0.12,0.01,0.03,0,0,0.04,0,0.3,0,0.01,0,0,0,0,0,0.08,0.08,0,0.1,0,0,0,0,0.03,0,0,0.02,0.01,0.05,0,0,0,0.02,0,0,0,0,0,0,0.09
2014-05,32.79,23.21,10.3,14.44,0.08,1.17,3.38,0.05,1.76,3.18,2.19,0.51,1.96,1.84,0,0,0,0,0.61,0.56,0.01,0,0.42,0,0.49,0,0,0,0.12,0,0.1,0.01,0.03,0,0,0.04,0,0.29,0,0.01,0,0,0,0,0,0.08,0.09,0,0.09,0,0,0,0,0.03,0,0,0.03,0,0.05,0,0,0,0.02,0,0,0,0,0,0,0.09
2014-06,32.6,24.25,10.31,13.34,0.08,1.28,3.36,0.06,1.63,3.19,2.26,0.56,1.94,1.92,0,0,0,0,0.62,0.57,0.01,0,0.43,0,0.52,0,0,0,0.11,0,0.09,0.01,0.04,0,0,0.05,0,0.28,0,0.01,0,0,0,0,0,0.08,0.1,0,0.08,0,0,0,0,0.03,0,0,0.03,0,0.05,0,0,0,0.02,0,0,0,0,0,0,0.1
2014-07,32.55,24.87,10.04,12.64,0.14,1.29,3.4,0.07,1.76,3.47,2.27,0.55,1.73,1.96,0,0,0,0.03,0.67,0.48,0.01,0,0.38,0,0.54,0,0.05,0,0.11,0,0.07,0.06,0.04,0,0,0.04,0,0.27,0,0.01,0.02,0,0,0,0,0.07,0.1,0,0.07,0,0,0,0,0.03,0,0,0.03,0,0.06,0,0,0,0.02,0,0,0.01,0,0,0,0.11
2014-08,32.77,23.55,10.33,12.54,0.19,1.3,3.49,0.11,1.88,3.47,2.31,0.62,1.66,2.16,0,0,0,0.11,0.64,0.61,0.01,0,0.41,0,0.54,0,0.06,0,0.11,0,0.11,0.05,0.05,0,0,0.07,0,0.31,0,0.01,0.03,0,0,0,0,0.09,0.09,0,0.07,0,0,0,0,0.02,0,0,0.03,0.01,0.06,0,0,0,0.03,0,0,0.01,0,0,0,0.12
2014-09,33.13,24.72,9.13,11.97,0.22,1.33,3.55,0.14,2.01,3.42,2.3,0.64,1.64,2.13,0,0,0,0.14,0.64,0.63,0.01,0.01,0.41,0,0.52,0,0.06,0,0.12,0,0.14,0.04,0.05,0,0,0.07,0,0.3,0,0.01,0.03,0,0,0,0,0.09,0.09,0,0.06,0,0,0,0,0.02,0,0,0.03,0.01,0.06,0,0,0,0.03,0,0,0.01,0,0,0,0.1
2014-10,33.68,25.96,8.47,10.3,0.28,1.44,3.8,0.13,2.29,3.62,2.26,0.61,1.34,1.91,0,0,0,0.16,0.63,0.69,0.02,0.02,0.46,0,0.57,0,0.06,0,0.14,0,0.18,0.07,0.04,0.01,0,0.06,0,0.25,0,0.02,0.06,0,0,0,0,0.08,0.09,0,0.05,0,0,0,0,0.02,0,0,0.05,0,0.07,0,0,0,0.03,0,0,0,0,0,0,0.1
2014-11,33.86,23.02,9.33,10.55,0.36,1.44,4.11,0.18,2.85,3.69,2.22,0.69,1.36,2.15,0,0,0,0.22,0.59,0.79,0.03,0.03,0.47,0,0.54,0,0.07,0,0.14,0,0.2,0.06,0.05,0.03,0,0.08,0,0.28,0,0.02,0.07,0,0,0,0,0.09,0.09,0,0.05,0,0,0,0,0.02,0,0,0.04,0,0.07,0,0,0,0.03,0,0,0.01,0,0,0,0.11
2014-12,33,23.51,9.37,10.9,0.43,1.46,4.01,0.22,2.58,3.64,2.3,0.77,1.38,2.15,0,0,0,0.3,0.58,0.65,0.04,0.04,0.49,0,0.6,0,0.1,0,0.13,0,0.15,0.07,0.06,0.04,0,0.1,0,0.28,0,0.02,0.07,0,0,0,0,0.11,0.08,0,0.04,0,0.01,0,0,0.02,0,0,0.04,0,0.06,0,0,0,0.02,0,0,0.02,0,0,0,0.13
2015-01,32.21,22.75,9.69,11.24,0.52,1.57,4.01,0.27,2.28,3.6,2.37,0.93,1.36,2.3,0,0,0,0.43,0.59,0.88,0.05,0.06,0.52,0,0.66,0,0.13,0,0.13,0,0.2,0.06,0.07,0.06,0,0.11,0.01,0.28,0,0.03,0.06,0,0,0,0,0.1,0.08,0,0.05,0,0.02,0,0,0.02,0,0,0.04,0,0.07,0,0,0,0.03,0,0,0.02,0,0,0,0.15
2015-02,32,23.17,9.61,10.25,0.6,1.65,4.19,0.31,2.29,3.62,2.42,1,1.25,2.23,0,0,0,0.53,0.57,1.05,0.05,0.07,0.58,0,0.71,0,0.12,0,0.14,0,0.24,0.06,0.08,0.08,0,0.11,0.02,0.25,0.02,0.04,0.06,0,0,0,0,0.1,0.07,0,0.05,0,0.03,0,0,0.02,0,0,0.04,0,0.07,0,0,0,0.04,0,0,0.02,0,0,0,0.16
2015-03,32.09,22.64,10.06,9.68,0.63,1.69,4.18,0.35,2.3,3.62,2.41,1.06,1.25,2.44,0,0,0,0.6,0.58,1.1,0.06,0.08,0.58,0,0.71,0,0.13,0,0.13,0,0.24,0.07,0.09,0.1,0,0.12,0.03,0.24,0.05,0.05,0.08,0,0,0,0,0.1,0.07,0,0.04,0,0.02,0,0,0.02,0,0,0.04,0,0.07,0,0,0,0.05,0,0,0.02,0,0,0,0.15
2015-04,32.26,20.78,10.85,9.86,0.63,1.78,4.21,0.4,2.32,3.69,2.41,1.14,1.27,2.49,0,0,0,0.67,0.65,1.19,0.07,0.09,0.59,0,0.7,0,0.13,0,0.14,0,0.25,0.07,0.09,0.11,0,0.13,0.04,0.24,0.07,0.05,0.08,0,0,0,0,0.09,0.07,0,0.04,0,0.02,0,0,0.01,0,0,0.04,0,0.06,0,0,0,0.05,0,0,0.02,0,0,0,0.13
2015-05,32.2,20.22,11.29,9.76,0.72,1.83,4.18,0.46,2.29,3.65,2.35,1.2,1.19,2.56,0,0,0,0.7,0.7,1.2,0.09,0.09,0.6,0,0.67,0,0.13,0.01,0.13,0,0.25,0.07,0.11,0.12,0,0.13,0.06,0.23,0.09,0.06,0.09,0,0,0,0,0.09,0.07,0,0.03,0,0.03,0,0,0.01,0,0,0.04,0,0.06,0,0,0,0.05,0,0,0.02,0,0,0.01,0.15
2015-06,31.57,20.22,12.2,9.58,0.79,1.88,4.14,0.47,2.25,3.49,2.28,1.3,1.32,2.69,0,0,0,0.7,0.63,1.14,0.09,0.09,0.58,0,0.64,0,0.12,0.01,0.13,0,0.24,0.07,0.11,0.12,0,0.14,0.06,0.23,0.08,0.07,0.07,0,0,0,0,0.09,0.07,0,0.03,0,0.03,0,0,0.01,0,0,0.03,0,0.06,0,0,0,0.05,0,0,0.02,0,0,0.01,0.13
2015-07,31.4,20.41,12.33,9.13,0.8,1.94,4.21,0.47,2.13,3.36,2.27,1.41,1.25,2.55,0,0,0,0.71,0.87,1.37,0.12,0.09,0.58,0,0.62,0,0.1,0.01,0.13,0,0.28,0.07,0.13,0.15,0,0.14,0.08,0.21,0.07,0.07,0.06,0,0,0,0,0.08,0.06,0,0.03,0,0.03,0,0,0.01,0,0,0.03,0,0.05,0,0,0,0.06,0,0,0.02,0,0,0.01,0.12
2015-08,31.73,19.03,13.3,8.61,0.92,2.14,4.1,0.55,2.08,3.26,2.19,1.53,1.42,2.6,0,0,0,0.8,0.79,1.44,0.17,0.08,0.57,0,0.58,0,0.1,0.01,0.15,0,0.29,0.06,0.15,0.16,0,0.17,0.09,0.2,0.09,0.1,0.07,0,0,0,0,0.07,0.06,0,0.03,0,0.02,0,0,0.01,0,0,0.03,0,0.05,0,0,0,0.06,0,0,0.02,0,0,0.01,0.12
2015-09,32.52,18.14,13.56,8.32,0.78,2.16,4.15,0.54,2.11,3.24,2.19,1.62,1.32,2.64,0,0,0,0.87,0.83,1.49,0.16,0.08,0.56,0,0.57,0,0.09,0.02,0.16,0,0.28,0.06,0.11,0.17,0,0.2,0.09,0.19,0.13,0.09,0.07,0,0,0,0,0.07,0.06,0,0.02,0,0.02,0,0,0.01,0,0,0.03,0,0.05,0,0,0,0.06,0,0,0.01,0,0,0.01,0.1
2015-10,32.64,17.7,13.64,8.36,0.74,2.21,4.26,0.5,2.12,3.25,2.23,1.67,1.16,2.62,0,0,0,0.88,0.91,1.65,0.15,0.08,0.56,0,0.54,0,0.09,0.03,0.17,0,0.29,0.07,0.11,0.18,0,0.18,0.1,0.19,0.13,0.08,0.08,0,0,0,0,0.06,0.06,0,0.02,0,0.02,0,0,0.01,0,0,0.03,0,0.05,0,0,0,0.07,0,0,0.01,0,0,0.01,0.1
